id,member_id,applicationType,score,month
1,0,경찰직공무원(여),40,1
2,0,경찰직공무원(여),40,2
3,0,경찰직공무원(여),42,3
4,0,경찰직공무원(여),49,4
5,0,경찰직공무원(여),49,5
6,0,경찰직공무원(여),47,6
7,0,경찰직공무원(여),46,7
8,0,경찰직공무원(여),45,8
9,0,경찰직공무원(여),44,9
10,0,경찰직공무원(여),44,10
11,0,경찰직공무원(여),41,11
12,1,경찰직공무원(여),47,12
13,1,경호직공무원(남),41,1
14,1,경호직공무원(남),41,2
15,1,경호직공무원(남),45,3
16,1,경호직공무원(남),44,4
17,1,경호직공무원(남),42,5
18,1,경호직공무원(남),49,6
19,1,경호직공무원(남),46,7
20,1,경호직공무원(남),43,8
21,1,경호직공무원(남),44,9
22,1,경호직공무원(남),41,10
23,1,경호직공무원(남),50,11
24,2,경호직공무원(남),49,12
25,2,경호직공무원(여),50,1
26,2,경호직공무원(여),48,2
27,2,경호직공무원(여),45,3
28,2,경호직공무원(여),48,4
29,2,경호직공무원(여),47,5
30,2,경호직공무원(여),48,6
31,2,경호직공무원(여),49,7
32,2,경호직공무원(여),40,8
33,2,경호직공무원(여),46,9
34,2,경호직공무원(여),41,10
35,2,경호직공무원(여),50,11
36,3,경호직공무원(여),48,12
37,3,경호직공무원(남),45,1
38,3,경호직공무원(남),44,2
39,3,경호직공무원(남),41,3
40,3,경호직공무원(남),45,4
41,3,경호직공무원(남),47,5
42,3,경호직공무원(남),49,6
43,3,경호직공무원(남),42,7
44,3,경호직공무원(남),40,8
45,3,경호직공무원(남),45,9
46,3,경호직공무원(남),42,10
47,3,경호직공무원(남),40,11
48,4,경호직공무원(남),41,12
49,4,소방직공무원(남),45,1
50,4,소방직공무원(남),47,2
51,4,소방직공무원(남),43,3
52,4,소방직공무원(남),42,4
53,4,소방직공무원(남),47,5
54,4,소방직공무원(남),45,6
55,4,소방직공무원(남),50,7
56,4,소방직공무원(남),42,8
57,4,소방직공무원(남),43,9
58,4,소방직공무원(남),41,10
59,4,소방직공무원(남),40,11
60,5,소방직공무원(남),50,12
61,5,경찰직공무원(남),50,1
62,5,경찰직공무원(남),48,2
63,5,경찰직공무원(남),44,3
64,5,경찰직공무원(남),42,4
65,5,경찰직공무원(남),49,5
66,5,경찰직공무원(남),43,6
67,5,경찰직공무원(남),42,7
68,5,경찰직공무원(남),48,8
69,5,경찰직공무원(남),47,9
70,5,경찰직공무원(남),41,10
71,5,경찰직공무원(남),43,11
72,6,경찰직공무원(남),45,12
73,6,소방직공무원(남),43,1
74,6,소방직공무원(남),40,2
75,6,소방직공무원(남),42,3
76,6,소방직공무원(남),50,4
77,6,소방직공무원(남),45,5
78,6,소방직공무원(남),49,6
79,6,소방직공무원(남),47,7
80,6,소방직공무원(남),43,8
81,6,소방직공무원(남),45,9
82,6,소방직공무원(남),49,10
83,6,소방직공무원(남),42,11
84,7,소방직공무원(남),44,12
85,7,경호직공무원(여),47,1
86,7,경호직공무원(여),49,2
87,7,경호직공무원(여),46,3
88,7,경호직공무원(여),47,4
89,7,경호직공무원(여),45,5
90,7,경호직공무원(여),46,6
91,7,경호직공무원(여),49,7
92,7,경호직공무원(여),46,8
93,7,경호직공무원(여),50,9
94,7,경호직공무원(여),44,10
95,7,경호직공무원(여),45,11
96,8,경호직공무원(여),45,12
97,8,경찰직공무원(남),41,1
98,8,경찰직공무원(남),41,2
99,8,경찰직공무원(남),42,3
100,8,경찰직공무원(남),40,4
101,8,경찰직공무원(남),50,5
102,8,경찰직공무원(남),48,6
103,8,경찰직공무원(남),46,7
104,8,경찰직공무원(남),43,8
105,8,경찰직공무원(남),44,9
106,8,경찰직공무원(남),40,10
107,8,경찰직공무원(남),47,11
108,9,경찰직공무원(남),40,12
109,9,경호직공무원(남),43,1
110,9,경호직공무원(남),50,2
111,9,경호직공무원(남),47,3
112,9,경호직공무원(남),49,4
113,9,경호직공무원(남),49,5
114,9,경호직공무원(남),49,6
115,9,경호직공무원(남),45,7
116,9,경호직공무원(남),48,8
117,9,경호직공무원(남),40,9
118,9,경호직공무원(남),48,10
119,9,경호직공무원(남),46,11
120,10,경호직공무원(남),45,12
121,10,경호직공무원(남),45,1
122,10,경호직공무원(남),44,2
123,10,경호직공무원(남),48,3
124,10,경호직공무원(남),49,4
125,10,경호직공무원(남),44,5
126,10,경호직공무원(남),49,6
127,10,경호직공무원(남),43,7
128,10,경호직공무원(남),40,8
129,10,경호직공무원(남),41,9
130,10,경호직공무원(남),47,10
131,10,경호직공무원(남),40,11
132,11,경호직공무원(남),43,12
133,11,소방직공무원(여),49,1
134,11,소방직공무원(여),42,2
135,11,소방직공무원(여),42,3
136,11,소방직공무원(여),43,4
137,11,소방직공무원(여),40,5
138,11,소방직공무원(여),42,6
139,11,소방직공무원(여),40,7
140,11,소방직공무원(여),46,8
141,11,소방직공무원(여),47,9
142,11,소방직공무원(여),41,10
143,11,소방직공무원(여),43,11
144,12,소방직공무원(여),49,12
145,12,소방직공무원(여),46,1
146,12,소방직공무원(여),48,2
147,12,소방직공무원(여),48,3
148,12,소방직공무원(여),42,4
149,12,소방직공무원(여),40,5
150,12,소방직공무원(여),49,6
151,12,소방직공무원(여),44,7
152,12,소방직공무원(여),47,8
153,12,소방직공무원(여),42,9
154,12,소방직공무원(여),49,10
155,12,소방직공무원(여),46,11
156,13,소방직공무원(여),42,12
157,13,경호직공무원(여),41,1
158,13,경호직공무원(여),47,2
159,13,경호직공무원(여),47,3
160,13,경호직공무원(여),50,4
161,13,경호직공무원(여),46,5
162,13,경호직공무원(여),47,6
163,13,경호직공무원(여),44,7
164,13,경호직공무원(여),46,8
165,13,경호직공무원(여),47,9
166,13,경호직공무원(여),40,10
167,13,경호직공무원(여),44,11
168,14,경호직공무원(여),43,12
169,14,경호직공무원(여),49,1
170,14,경호직공무원(여),44,2
171,14,경호직공무원(여),40,3
172,14,경호직공무원(여),47,4
173,14,경호직공무원(여),50,5
174,14,경호직공무원(여),40,6
175,14,경호직공무원(여),50,7
176,14,경호직공무원(여),43,8
177,14,경호직공무원(여),40,9
178,14,경호직공무원(여),41,10
179,14,경호직공무원(여),50,11
180,15,경호직공무원(여),42,12
181,15,경찰직공무원(남),50,1
182,15,경찰직공무원(남),43,2
183,15,경찰직공무원(남),42,3
184,15,경찰직공무원(남),45,4
185,15,경찰직공무원(남),49,5
186,15,경찰직공무원(남),45,6
187,15,경찰직공무원(남),44,7
188,15,경찰직공무원(남),45,8
189,15,경찰직공무원(남),48,9
190,15,경찰직공무원(남),49,10
191,15,경찰직공무원(남),43,11
192,16,경찰직공무원(남),45,12
193,16,경호직공무원(남),42,1
194,16,경호직공무원(남),49,2
195,16,경호직공무원(남),48,3
196,16,경호직공무원(남),44,4
197,16,경호직공무원(남),45,5
198,16,경호직공무원(남),41,6
199,16,경호직공무원(남),45,7
200,16,경호직공무원(남),42,8
201,16,경호직공무원(남),43,9
202,16,경호직공무원(남),47,10
203,16,경호직공무원(남),44,11
204,17,경호직공무원(남),45,12
205,17,경찰직공무원(여),43,1
206,17,경찰직공무원(여),45,2
207,17,경찰직공무원(여),50,3
208,17,경찰직공무원(여),41,4
209,17,경찰직공무원(여),45,5
210,17,경찰직공무원(여),43,6
211,17,경찰직공무원(여),43,7
212,17,경찰직공무원(여),42,8
213,17,경찰직공무원(여),40,9
214,17,경찰직공무원(여),40,10
215,17,경찰직공무원(여),43,11
216,18,경찰직공무원(여),41,12
217,18,경호직공무원(여),50,1
218,18,경호직공무원(여),41,2
219,18,경호직공무원(여),47,3
220,18,경호직공무원(여),41,4
221,18,경호직공무원(여),50,5
222,18,경호직공무원(여),47,6
223,18,경호직공무원(여),50,7
224,18,경호직공무원(여),44,8
225,18,경호직공무원(여),49,9
226,18,경호직공무원(여),44,10
227,18,경호직공무원(여),46,11
228,19,경호직공무원(여),48,12
229,19,경호직공무원(남),42,1
230,19,경호직공무원(남),43,2
231,19,경호직공무원(남),43,3
232,19,경호직공무원(남),45,4
233,19,경호직공무원(남),44,5
234,19,경호직공무원(남),49,6
235,19,경호직공무원(남),41,7
236,19,경호직공무원(남),49,8
237,19,경호직공무원(남),44,9
238,19,경호직공무원(남),44,10
239,19,경호직공무원(남),40,11
240,20,경호직공무원(남),41,12
241,20,경호직공무원(여),41,1
242,20,경호직공무원(여),42,2
243,20,경호직공무원(여),47,3
244,20,경호직공무원(여),43,4
245,20,경호직공무원(여),42,5
246,20,경호직공무원(여),42,6
247,20,경호직공무원(여),47,7
248,20,경호직공무원(여),48,8
249,20,경호직공무원(여),48,9
250,20,경호직공무원(여),49,10
251,20,경호직공무원(여),47,11
252,21,경호직공무원(여),40,12
253,21,경찰직공무원(여),48,1
254,21,경찰직공무원(여),41,2
255,21,경찰직공무원(여),41,3
256,21,경찰직공무원(여),46,4
257,21,경찰직공무원(여),50,5
258,21,경찰직공무원(여),50,6
259,21,경찰직공무원(여),40,7
260,21,경찰직공무원(여),49,8
261,21,경찰직공무원(여),46,9
262,21,경찰직공무원(여),43,10
263,21,경찰직공무원(여),49,11
264,22,경찰직공무원(여),44,12
265,22,소방직공무원(여),48,1
266,22,소방직공무원(여),47,2
267,22,소방직공무원(여),49,3
268,22,소방직공무원(여),44,4
269,22,소방직공무원(여),45,5
270,22,소방직공무원(여),42,6
271,22,소방직공무원(여),46,7
272,22,소방직공무원(여),50,8
273,22,소방직공무원(여),43,9
274,22,소방직공무원(여),45,10
275,22,소방직공무원(여),41,11
276,23,소방직공무원(여),45,12
277,23,소방직공무원(남),40,1
278,23,소방직공무원(남),47,2
279,23,소방직공무원(남),42,3
280,23,소방직공무원(남),43,4
281,23,소방직공무원(남),48,5
282,23,소방직공무원(남),49,6
283,23,소방직공무원(남),40,7
284,23,소방직공무원(남),44,8
285,23,소방직공무원(남),45,9
286,23,소방직공무원(남),41,10
287,23,소방직공무원(남),50,11
288,24,소방직공무원(남),44,12
289,24,경찰직공무원(남),41,1
290,24,경찰직공무원(남),44,2
291,24,경찰직공무원(남),41,3
292,24,경찰직공무원(남),40,4
293,24,경찰직공무원(남),44,5
294,24,경찰직공무원(남),42,6
295,24,경찰직공무원(남),47,7
296,24,경찰직공무원(남),42,8
297,24,경찰직공무원(남),46,9
298,24,경찰직공무원(남),43,10
299,24,경찰직공무원(남),50,11
300,25,경찰직공무원(남),42,12
301,25,경찰직공무원(남),48,1
302,25,경찰직공무원(남),42,2
303,25,경찰직공무원(남),40,3
304,25,경찰직공무원(남),49,4
305,25,경찰직공무원(남),50,5
306,25,경찰직공무원(남),45,6
307,25,경찰직공무원(남),43,7
308,25,경찰직공무원(남),43,8
309,25,경찰직공무원(남),46,9
310,25,경찰직공무원(남),45,10
311,25,경찰직공무원(남),48,11
312,26,경찰직공무원(남),41,12
313,26,소방직공무원(여),42,1
314,26,소방직공무원(여),42,2
315,26,소방직공무원(여),49,3
316,26,소방직공무원(여),41,4
317,26,소방직공무원(여),44,5
318,26,소방직공무원(여),44,6
319,26,소방직공무원(여),44,7
320,26,소방직공무원(여),49,8
321,26,소방직공무원(여),46,9
322,26,소방직공무원(여),45,10
323,26,소방직공무원(여),46,11
324,27,소방직공무원(여),50,12
325,27,경찰직공무원(남),50,1
326,27,경찰직공무원(남),42,2
327,27,경찰직공무원(남),48,3
328,27,경찰직공무원(남),45,4
329,27,경찰직공무원(남),49,5
330,27,경찰직공무원(남),44,6
331,27,경찰직공무원(남),40,7
332,27,경찰직공무원(남),48,8
333,27,경찰직공무원(남),41,9
334,27,경찰직공무원(남),50,10
335,27,경찰직공무원(남),42,11
336,28,경찰직공무원(남),49,12
337,28,소방직공무원(남),41,1
338,28,소방직공무원(남),45,2
339,28,소방직공무원(남),45,3
340,28,소방직공무원(남),50,4
341,28,소방직공무원(남),40,5
342,28,소방직공무원(남),42,6
343,28,소방직공무원(남),47,7
344,28,소방직공무원(남),49,8
345,28,소방직공무원(남),48,9
346,28,소방직공무원(남),46,10
347,28,소방직공무원(남),50,11
348,29,소방직공무원(남),46,12
349,29,경찰직공무원(남),43,1
350,29,경찰직공무원(남),50,2
351,29,경찰직공무원(남),42,3
352,29,경찰직공무원(남),41,4
353,29,경찰직공무원(남),42,5
354,29,경찰직공무원(남),47,6
355,29,경찰직공무원(남),43,7
356,29,경찰직공무원(남),44,8
357,29,경찰직공무원(남),45,9
358,29,경찰직공무원(남),49,10
359,29,경찰직공무원(남),45,11
360,30,경찰직공무원(남),40,12
361,30,경찰직공무원(여),49,1
362,30,경찰직공무원(여),43,2
363,30,경찰직공무원(여),41,3
364,30,경찰직공무원(여),49,4
365,30,경찰직공무원(여),46,5
366,30,경찰직공무원(여),41,6
367,30,경찰직공무원(여),46,7
368,30,경찰직공무원(여),50,8
369,30,경찰직공무원(여),45,9
370,30,경찰직공무원(여),48,10
371,30,경찰직공무원(여),43,11
372,31,경찰직공무원(여),47,12
373,31,경찰직공무원(남),41,1
374,31,경찰직공무원(남),46,2
375,31,경찰직공무원(남),50,3
376,31,경찰직공무원(남),49,4
377,31,경찰직공무원(남),46,5
378,31,경찰직공무원(남),47,6
379,31,경찰직공무원(남),48,7
380,31,경찰직공무원(남),41,8
381,31,경찰직공무원(남),43,9
382,31,경찰직공무원(남),45,10
383,31,경찰직공무원(남),42,11
384,32,경찰직공무원(남),48,12
385,32,소방직공무원(남),48,1
386,32,소방직공무원(남),45,2
387,32,소방직공무원(남),43,3
388,32,소방직공무원(남),47,4
389,32,소방직공무원(남),47,5
390,32,소방직공무원(남),50,6
391,32,소방직공무원(남),48,7
392,32,소방직공무원(남),49,8
393,32,소방직공무원(남),47,9
394,32,소방직공무원(남),42,10
395,32,소방직공무원(남),40,11
396,33,소방직공무원(남),40,12
397,33,경호직공무원(여),43,1
398,33,경호직공무원(여),42,2
399,33,경호직공무원(여),47,3
400,33,경호직공무원(여),44,4
401,33,경호직공무원(여),40,5
402,33,경호직공무원(여),47,6
403,33,경호직공무원(여),47,7
404,33,경호직공무원(여),42,8
405,33,경호직공무원(여),47,9
406,33,경호직공무원(여),44,10
407,33,경호직공무원(여),42,11
408,34,경호직공무원(여),40,12
409,34,경찰직공무원(남),44,1
410,34,경찰직공무원(남),49,2
411,34,경찰직공무원(남),43,3
412,34,경찰직공무원(남),48,4
413,34,경찰직공무원(남),43,5
414,34,경찰직공무원(남),44,6
415,34,경찰직공무원(남),42,7
416,34,경찰직공무원(남),41,8
417,34,경찰직공무원(남),50,9
418,34,경찰직공무원(남),50,10
419,34,경찰직공무원(남),45,11
420,35,경찰직공무원(남),50,12
421,35,경호직공무원(여),41,1
422,35,경호직공무원(여),43,2
423,35,경호직공무원(여),50,3
424,35,경호직공무원(여),40,4
425,35,경호직공무원(여),47,5
426,35,경호직공무원(여),46,6
427,35,경호직공무원(여),50,7
428,35,경호직공무원(여),46,8
429,35,경호직공무원(여),47,9
430,35,경호직공무원(여),41,10
431,35,경호직공무원(여),44,11
432,36,경호직공무원(여),40,12
433,36,경호직공무원(여),46,1
434,36,경호직공무원(여),49,2
435,36,경호직공무원(여),42,3
436,36,경호직공무원(여),42,4
437,36,경호직공무원(여),45,5
438,36,경호직공무원(여),42,6
439,36,경호직공무원(여),48,7
440,36,경호직공무원(여),45,8
441,36,경호직공무원(여),45,9
442,36,경호직공무원(여),45,10
443,36,경호직공무원(여),40,11
444,37,경호직공무원(여),45,12
445,37,소방직공무원(남),50,1
446,37,소방직공무원(남),42,2
447,37,소방직공무원(남),42,3
448,37,소방직공무원(남),42,4
449,37,소방직공무원(남),41,5
450,37,소방직공무원(남),50,6
451,37,소방직공무원(남),41,7
452,37,소방직공무원(남),46,8
453,37,소방직공무원(남),42,9
454,37,소방직공무원(남),43,10
455,37,소방직공무원(남),41,11
456,38,소방직공무원(남),44,12
457,38,경호직공무원(남),44,1
458,38,경호직공무원(남),50,2
459,38,경호직공무원(남),50,3
460,38,경호직공무원(남),41,4
461,38,경호직공무원(남),50,5
462,38,경호직공무원(남),43,6
463,38,경호직공무원(남),46,7
464,38,경호직공무원(남),46,8
465,38,경호직공무원(남),43,9
466,38,경호직공무원(남),44,10
467,38,경호직공무원(남),43,11
468,39,경호직공무원(남),47,12
469,39,경호직공무원(여),47,1
470,39,경호직공무원(여),45,2
471,39,경호직공무원(여),44,3
472,39,경호직공무원(여),46,4
473,39,경호직공무원(여),48,5
474,39,경호직공무원(여),42,6
475,39,경호직공무원(여),43,7
476,39,경호직공무원(여),40,8
477,39,경호직공무원(여),49,9
478,39,경호직공무원(여),44,10
479,39,경호직공무원(여),48,11
480,40,경호직공무원(여),45,12
481,40,경찰직공무원(남),44,1
482,40,경찰직공무원(남),50,2
483,40,경찰직공무원(남),46,3
484,40,경찰직공무원(남),44,4
485,40,경찰직공무원(남),45,5
486,40,경찰직공무원(남),47,6
